Month,monthNumber,Date,tempMin,tempAvg,tempMax,humidityMin,humidityAvg,humidityMax,Disease
January,1,1,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,2,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,3,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,4,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,5,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,6,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,7,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,8,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,9,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
January,1,10,8,15,20,30,42,55,"H3N2 Flu, COPD Flare-ups, Hypothermia, Norovirus, Seasonal Depression, Frostbite, Dry Skin Dermatitis, Influenza A, Sinus Infections, Bronchiolitis, Pneumococcal Pneumonia, Raynaud’s Phenomenon, Winter Asthma, Heart Attack (Cold Stress), Chilblains, Strep Throat, RSV (Respiratory Syncytial Virus), Frozen Shoulder, Winter Vomiting Bug, Coronary Artery Spasm"
